key,kind,description,units,weight,cross_wires
MC20025AZ,ARM       ,MALLA CERCASEL AZUL DE 2.50X 2.00 MTS   ,PZA    ,20.77,
MC2085516_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.085 X 5161 MTS ,HOJ    ,41.71,92
MC216500_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.16 X 5.20 MTS  ,HOJ    ,37.083,
MC216620_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.16 X 6.20 MTS  ,HOJ    ,51.404,
MC21925161_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.192 X 5.161 MTS,HOJ    ,44.67,92
MC22150620_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2X2 1.50X6.20 M  ,HOJ    ,51.93,92
MC240600_MQ,MAQ       ,MAQUILA MALLA CERCASEL4x1 8/8A2.40*6.00M,HOJ    ,41.74,
MC246522_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.46 X 5.22 MTS  ,HOJ    ,31.22,
MC256516_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.56 X 5.161 MTS ,HOJ    ,50.39,92
MC257735_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.574X7.35 M C-6 ,HOJ    ,78.958,
MC263735_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.634X7.35 M C-6 ,HOJ    ,81.366,
MC26652065_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.66*5.20M C-6.5 ,HOJ    ,51.955,
MC266520_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.66 * 5.20 M    ,HOJ    ,51.955,
MC275600_MQ,MAQ       ,MAQUILA MALLA CERCASEL 2.75 X 6.00 C 6  ,HOJ    ,41.97,
MC339130,RET       ,MALLA CRIBA 3X3 0.91 X 0.30 MTS         ,RL     ,23.15,
MC41250_MQ,MAQ       ,MAQ MALLA CARCASEL 4X1 2.50X2.50 C-8    ,HOJ    ,33.88,
MC449030,RET       ,MALLA CRIBA 4X4 0.90 X 0.30 MTS         ,RL     ,23.15,
MC52007_MQ,MAQ       ,MAQUILA CERCASEL 2.00 X 5.00 CAL 7      ,HOJ    ,35.68,
MC5200_MQ,MAQ       ,MAQUILA MALLA CERCASEL5.00X2.00M C-6 1/4,HOJ    ,40.594,90
MC5206_MQ,MAQ       ,MAQUILA MALLA CERCASEL5.00X2.06M C-8    ,HOJ    ,41.74,
MC52091_MQ,MAQ       ,"MAQUILA CERCASEL 5.20X2.09M C-6 1/4 A 1""",HOJ    ,72.05,
MC52507_MQ,MAQ       ,MAQUILA CERCASEL 2.50 X 5.00 CAL 7      ,HOJ    ,43.02,
MC5250_MQ,MAQ       ,MAQUILA MALLA CERCASEL5.00X2.50M C-6 1/4,HOJ    ,48.95,90
MC5258_MQ,MAQ       ,MAQUILA MALLA CERCASEL5.00X2.58M C-6    ,HOJ    ,51.77,
MCB250250,RET       ,MALLA CERCASEL BLANCA  DE 2.50X 2.50 MTS,PZA    ,25,
MCER2250VDE,ARM       ,MALLA CERCASEL VERDE DE 2.50X 2.00 MTS  ,PZA    ,20.77,
